fileid,title,composer,year,year_alt,rtctype,ts_pm,silence_pm,silence_beats_pm,quant_pct_pm,ts_m21,silence_beats_m21,quant_m21,onset_pct_m21,true_ts,part0_avgpitch,part1_avgpitch,part0_numnotes,part1_numnotes,do_not_use,part_pitch_diff
wilson_11th_street_rag_pub.vers_wilson,11th Street Rag [pub.],"Bowman, Euday L.",1917,,R,4/4,0,0,0.990599295,['4/4@0.0'],0,"(1787, 1777)",0.994404029,,74.14258912,51.19622642,1066,795,,22.9463627
wilson_11th_street_rag_unpub._vers_wilson,11th Street Rag [unpub.],"Bowman, Euday L.",1917,,R,4/4,0,0,0.957620212,['4/4@0.0'],0,"(1307, 1257)",0.961744453,,74.58229599,53.02852615,723,631,,21.55376984
misc_sequencers_a_e_12th_street_rag_abruzese_ex_decker,12th Street Rag,"Bowman, Euday L.",1914,,R,4/4,3.6125,7.225,0.040376323,['4/4@0.0'],4,"(2516, 2336)",0.92845787,,79.15896739,51.20839813,2208,643,,27.95056926
macdonald_12th_street_rag_macdonald,13th Street Rag,"Bowman, Euday L.",1914,,R,4/4,0.951423,3,0.993444276,['4/4@0.0'],3,"(2000, 1998)",0.999,,72.28011204,52.10196078,1071,1020,,20.17815126
misc_sequencers_m_r_12th_street_rag_rogers,14th Street Rag,"Bowman, Euday L.",1914,,R,4/4,2.625,7,1,['4/4@0.0'],4,"(2105, 2105)",1,,73.17940199,52.69672944,1204,1009,,20.48267256
misc_sequencers_s_z_excl_unks_12th_street_rag_sierra_ex_wiseman,15th Street Rag,"Bowman, Euday L.",1914,,R,4/4,0.75,3,1,['4/4@0.0'],3,"(1999, 1999)",1,,52.11176471,72.3042654,1020,1055,,-20.1925007
misc_sequencers_unks_12th_street_rag_unk2_ex_wiseman,16th Street Rag,"Bowman, Euday L.",1914,,R,4/4,0.75,3,1,['4/4@0.0'],3,"(1999, 1999)",1,,64.11176471,84.3042654,1020,1055,,-20.1925007
misc_sequencers_unks_12th_street_rag_unk3_ex_wiseman,17th Street Rag,"Bowman, Euday L.",1914,,R,4/4,0.75,3,1,['4/4@0.0'],3,"(1999, 1999)",1,,64.11176471,84.3042654,1020,1055,,-20.1925007
old_web_prt_12th_street_rag_unk1_ex_old_web,18th Street Rag,"Bowman, Euday L.",1914,,R,4/4,0.75,3,1,['4/4@0.0'],3,"(1999, 1999)",1,,64.11176471,84.3042654,1020,1055,,-20.1925007
mezjuev_1986_mezjuev,1986,"Mezjuev, Oleg",1986,,Y,2/4,1.175,1.958333333,0.993023256,['2/4@0.0'],1.958333333,"(431, 428)",0.993039443,,61.91239316,43,468,2,notsplit,18.91239316
