fileid,filename,pretty_midi,instruments,rtcid
electriclef_witherwax_fascinator_the_witherwax,"ElectriClef (Witherwax)/Fascinator, The - Witherwax.mid",True,"[0, 0]",4078
electriclef_witherwax_peacherine_rag_witherwax,ElectriClef (Witherwax)/Peacherine Rag - Witherwax.mid,True,"[0, 0]",9774
electriclef_witherwax_reflection_rag_joplin_witherwax,ElectriClef (Witherwax)/Reflection Rag (Joplin) - Witherwax.mid,True,"[0, 0]",11344
electriclef_witherwax_cascades_the_witherwax,"ElectriClef (Witherwax)/Cascades, The - Witherwax.mid",True,"[0, 0]",1911
electriclef_witherwax_im_alabama_bound_hoffman_witherwax,ElectriClef (Witherwax)/I'm Alabama Bound (Hoffman) - Witherwax.mid,True,"[0, 0]",6189
electriclef_witherwax_buffalo_rag_the_witherwax,"ElectriClef (Witherwax)/Buffalo Rag, The - Witherwax.mid",True,"[0, 0]",1520
electriclef_witherwax_sun_flower_slow_drag_witherwax,ElectriClef (Witherwax)/Sun Flower Slow Drag - Witherwax.mid,True,"[0, 0]",13065
electriclef_witherwax_victory_rag_scott_witherwax,ElectriClef (Witherwax)/Victory Rag (Scott) - Witherwax.mid,True,"[0, 0]",14655
electriclef_witherwax_scott_joplins_new_rag_witherwax,ElectriClef (Witherwax)/Scott Joplin's New Rag - Witherwax.mid,True,"[0, 0]",11935
electriclef_witherwax_kinklets_witherwax,ElectriClef (Witherwax)/Kinklets - Witherwax.mid,True,"[0, 0]",7136
electriclef_witherwax_cataract_witherwax,ElectriClef (Witherwax)/Cataract - Witherwax.mid,True,"[0, 0]",1936
electriclef_witherwax_maple_leaf_rag_witherwax,ElectriClef (Witherwax)/Maple Leaf Rag - Witherwax.mid,True,"[0, 0]",7974
electriclef_witherwax_fig_leaf_witherwax,ElectriClef (Witherwax)/Fig Leaf - Witherwax.mid,True,"[0, 0]",4150
electriclef_witherwax_reindeer_witherwax,ElectriClef (Witherwax)/Reindeer - Witherwax.mid,True,"[0, 0]",11355
electriclef_witherwax_ashy_africa_witherwax,ElectriClef (Witherwax)/Ashy Africa - Witherwax.mid,True,"[0, 0]",536
electriclef_witherwax_tennessee_tantalizer_a_witherwax,"ElectriClef (Witherwax)/Tennessee Tantalizer, A - Witherwax.mid",True,"[0, 0]",13533
electriclef_witherwax_hilarity_rag_witherwax,ElectriClef (Witherwax)/Hilarity Rag - Witherwax.mid,True,"[0, 0]",5457
electriclef_witherwax_wall_street_rag_witherwax,ElectriClef (Witherwax)/Wall Street Rag - Witherwax.mid,True,"[0, 0]",14775
electriclef_witherwax_sensation_lamb_witherwax,ElectriClef (Witherwax)/Sensation (Lamb) - Witherwax.mid,True,"[0, 0]",12008
electriclef_witherwax_frog_legs_rag_witherwax,ElectriClef (Witherwax)/Frog Legs Rag - Witherwax.mid,True,"[0, 0]",4510
electriclef_witherwax_agitation_rag_witherwax,ElectriClef (Witherwax)/Agitation Rag - Witherwax.mid,True,"[0, 0]",149
electriclef_witherwax_patricia_rag_witherwax,ElectriClef (Witherwax)/Patricia Rag - Witherwax.mid,True,"[0, 0]",9747
electriclef_witherwax_grace_and_beauty_witherwax,ElectriClef (Witherwax)/Grace And Beauty - Witherwax.mid,True,"[0, 0]",4992
electriclef_witherwax_pleasant_moments_witherwax,ElectriClef (Witherwax)/Pleasant Moments - Witherwax.mid,True,"[0, 0]",10126
electriclef_witherwax_favorite_the_witherwax,"ElectriClef (Witherwax)/Favorite, The - Witherwax.mid",True,"[0, 0]",4096
electriclef_witherwax_lily_rag_the_witherwax,"ElectriClef (Witherwax)/Lily Rag, The - Witherwax.mid",True,"[0, 0]",7478
electriclef_witherwax_bowery_buck_witherwax,ElectriClef (Witherwax)/Bowery Buck - Witherwax.mid,True,"[0, 0]",1364
